"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
98249,59543,38706,-0.747441524571993,3.27234742749821
98974,59794,39180,-0.731923506307331,3.33191568743099
99636,60070,39566,-0.713200263509696,3.35332918167114
100480,60359,40121,-0.693286043744196,3.44796621528539
101006,60616,40390,-0.671974781020121,3.44418444362554
101624,60910,40714,-0.648299616846171,3.44874736463482
102221,61175,41046,-0.62942745807496,3.45860081464052
103005,61424,41581,-0.608158086765219,3.51559815515171
103611,61635,41976,-0.595275837690993,3.52820626632734
104334,61927,42407,-0.57397395783866,3.53346404951404
104792,62164,42628,-0.556871614080261,3.52181903435425
105295,62380,42915,-0.539710526269945,3.53457960879261
105812,62632,43180,-0.521707834388045,3.49814768318426
106444,62844,43600,-0.504673101600598,3.49052744128487
107212,63090,44122,-0.486569880660285,3.51257309561426
107708,63290,44418,-0.468840490628711,3.48732168606736
108172,63449,44723,-0.456489617843181,3.46239996755665
108698,63660,45038,-0.441969271579927,3.45094627263871
109146,63847,45299,-0.426346347781576,3.43130097504367
109610,64016,45594,-0.411074461652474,3.42014769884673
110015,64181,45834,-0.399524382019246,3.39928791536526
110490,64388,46102,-0.384094346856529,3.39041775302453
110870,64534,46336,-0.374178557758304,3.33620679893277
111286,64687,46599,-0.363257459720427,3.31635608822107
111557,64815,46742,-0.350125472154468,3.27861889302731
111880,64978,46902,-0.335800837979398,3.22510572367094
112234,65127,47107,-0.321935420085422,3.21079733744264
112786,65312,47474,-0.307304568690333,3.23132530830123
113139,65429,47710,-0.298511836051264,3.20103152101563
113400,65536,47864,-0.291364784902808,3.1632386228747
113692,65656,48036,-0.281629990633916,3.12648012898862
113998,65751,48247,-0.272294122878123,3.10655986293727
114299,65843,48456,-0.263275152902034,3.09449826749888
114456,65927,48529,-0.25842055931518,3.04756727167194
114799,66032,48767,-0.247870614400811,3.02036035155708
115114,66136,48978,-0.238234022958204,3.01617276248607
115282,66226,49056,-0.229577649837698,2.98073075878519
115428,66304,49124,-0.223581629771401,2.95193082365123
115771,66372,49399,-0.21951699597253,2.94427059062503
115983,66442,49541,-0.214548798248341,2.92539728554812
116153,66506,49647,-0.2086762950163,2.88775667615912
116322,66560,49762,-0.20460328667594,2.8539554612764
116478,66603,49875,-0.200083533873443,2.83314421346242
116730,66669,50061,-0.192181913055141,2.82708841906437
116889,66718,50171,-0.18743054154329,2.79159597492015
117039,66760,50279,-0.182753103129058,2.76570838842202
117165,66799,50366,-0.178339680957354,2.73871411100369
117374,66850,50524,-0.174370403452353,2.72849675496532
117534,66911,50623,-0.168612884692001,2.71464148434726
117673,66947,50726,-0.165586352492259,2.67214612649246
117823,66985,50838,-0.163187635275112,2.66491460221058
117930,67025,50905,-0.159363897479224,2.63287161090835
118075,67065,51010,-0.154413753248412,2.62242487238889
118229,67104,51125,-0.149802583049644,2.59818275998537
118313,67154,51159,-0.145205771381205,2.57715610221706
118481,67184,51297,-0.142265216697177,2.55143995117396
118606,67215,51391,-0.138165719934147,2.52086313842711
118737,67231,51506,-0.136617516120896,2.50464640067552
118811,67255,51556,-0.133061390443684,2.47898947811601
119069,67285,51784,-0.129248756119473,2.48310550513931
119147,67315,51832,-0.126884442226517,2.45616715164347
119243,67329,51914,-0.125412458977239,2.44273836089467
119370,67354,52016,-0.122355101222638,2.42215995627709
119411,67364,52047,-0.122249331290897,2.38539057147096
119442,67388,52054,-0.120179274574515,2.3619674492966
119578,67415,52163,-0.116660356181356,2.35140028943054
119619,67432,52187,-0.115319177702027,2.34205692899837
119726,67450,52276,-0.113547938259382,2.32234500704164
119804,67463,52341,-0.110144225130683,2.32694711253386
119949,67477,52472,-0.106362496093127,2.30483789816499
120023,67495,52528,-0.104986531607045,2.28546976318414
120062,67505,52557,-0.104676809785782,2.27220052343116
120076,67511,52565,-0.104050594507399,2.24696781323715
120208,67525,52683,-0.10199405311882,2.24225395711308
120214,67529,52685,-0.101411243511724,2.21150047403168
